plot_id,Plot,Plot-T,Plant Ht,Ear Ht,Number Of Ears,Stalk Diam Major,Stalk DiamMinimum,No Brace Root Whorls Emerged,Hybrid,Density,Rep,PlantNumber
22.1.19716.59.4,59,3,193,88,2,31,24,3,LH82 / PHP02,12,2,4
22.1.19716.59.5,59,3,204,100,2,26,22,2,LH82 / PHP02,12,2,5
22.1.19716.59.6,59,3,207,105,2,22,19,2,LH82 / PHP02,12,2,6
22.1.19716.59.7,59,3,200,101,2,21,17,2,LH82 / PHP02,12,2,7
22.1.19716.59.8,59,3,208,88,1,24,20,2,LH82 / PHP02,12,2,8
22.1.19716.59.9,59,3,201,96,2,27,21,2,LH82 / PHP02,12,2,9
22.1.19716.59.10,59,3,199,99,2,26,20,2,LH82 / PHP02,12,2,10
22.1.19716.59.11,59,3,201,104,2,27,20,2,LH82 / PHP02,12,2,11
22.1.19716.107.1,107,27,195,91,2,29,27,2,LH82 / PHP02,12,3,1
22.1.19716.107.2,107,27,195,90,2,31,24,3,LH82 / PHP02,12,3,2
22.1.19716.107.3,107,27,207,94,2,27,23,2,LH82 / PHP02,12,3,3
22.1.19716.107.4,107,27,198,95,2,24,19,2,LH82 / PHP02,12,3,4
22.1.19716.107.5,107,27,199,96,2,26,22,3,LH82 / PHP02,12,3,5
22.1.19716.107.6,107,27,206,106,2,26,21,2,LH82 / PHP02,12,3,6
22.1.19716.107.7,107,27,204,101,2,27,22,2,LH82 / PHP02,12,3,7
22.1.19716.107.8,107,27,210,101,2,24,20,2,LH82 / PHP02,12,3,8
22.1.19716.107.9,107,27,203,103,2,25,21,2,LH82 / PHP02,12,3,9
22.1.19716.107.10,107,27,201,96,2,25,20,2,LH82 / PHP02,12,3,10
22.1.19716.107.11,107,27,202,103,2,24,19,2,LH82 / PHP02,12,3,11
22.1.19716.107.12,107,27,194,91,2,26,21,3,LH82 / PHP02,12,3,12
22.1.19716.79.1,79,13,201,93,2,29,21,3,LH82 / PHP02,12,4,1
22.1.19716.79.2,79,13,203,98,2,28,22,2,LH82 / PHP02,12,4,2
