Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,Torsional_Stiffness_Nm/rad,raw_data_file,Additional_Notes,DAP
2021,Newark,55&Friends,TBA2 - B73,Maize,1128_7,1128,7,A,JR,5/20/21,9/28/21,81.792,1128-7_09_28_2021_14_32_23.xls,NA,131
2021,Newark,55&Friends,TBA2 - B73,Maize,1128_8,1128,8,A,JR,5/20/21,9/28/21,81.314,1128-8_09_28_2021_14_33_17.xls,NA,131
2021,Newark,55&Friends,Tzi8,Maize,1129_4,1129,4,A,JR,5/20/21,9/28/21,149.337,1129-4_09_28_2021_14_37_20.xls,NA,131
2021,Newark,55&Friends,Tzi8,Maize,1129_6,1129,6,A,JR,5/20/21,9/28/21,91.811,1129-6_09_28_2021_14_38_22.xls,NA,131
2021,Newark,55&Friends,LH211,Maize,1130_12,1130,12,A,JR,5/20/21,9/28/21,67.127,1130-12_09_28_2021_14_43_06.xls,NA,131
2021,Newark,55&Friends,LH211,Maize,1130_5,1130,5,A,JR,5/20/21,9/28/21,79.125,1130-5_09_28_2021_14_41_55.xls,NA,131
2021,Newark,55&Friends,Ki3,Maize,1131_6,1131,6,A,JR,5/20/21,9/28/21,105.705,1131-6_09_28_2021_14_46_32.xls,NA,131
2021,Newark,55&Friends,Ki3,Maize,1131_7,1131,7,A,JR,5/20/21,9/28/21,103.256,1131-7_09_28_2021_14_47_44.xls,NA,131
2021,Newark,55&Friends,CML333,Maize,510_7,510,7,A,JR,5/20/21,9/27/21,73.894,510-7_09_27_2021_13_33_25.xls,LODGED,130
2021,Newark,55&Friends,CML333,Maize,510_8,510,8,A,JR,5/20/21,9/27/21,16.038,510-8_09_27_2021_13_34_34.xls,NA,130
2021,Newark,55&Friends,BS30,Maize,511_3,511,3,A,JR,5/20/21,9/27/21,125.734,511-3_09_27_2021_13_29_21.xls,NA,130
2021,Newark,55&Friends,BS30,Maize,511_5,511,5,A,JR,5/20/21,9/27/21,120.342,511-5_09_27_2021_13_28_19.xls,NA,130
2021,Newark,55&Friends,W64A,Maize,512_3,512,3,A,JR,5/20/21,9/27/21,28.927,512-3_09_27_2021_13_23_45.xls,NA,130
2021,Newark,55&Friends,W64A,Maize,512_4,512,4,A,JR,5/20/21,9/27/21,30.465,512-4_09_27_2021_13_24_46.xls,NA,130
2021,Newark,55&Friends,PHHB4,Maize,513_4,513,4,A,JR,5/20/21,9/27/21,101.293,513-4_09_27_2021_13_18_40.xls,NA,130
2021,Newark,55&Friends,PHHB4,Maize,513_5,513,5,A,JR,5/20/21,9/27/21,77.988,513-5_09_27_2021_13_19_38.xls,NA,130
2021,Newark,55&Friends,PHB47,Maize,514_3,514,3,A,JR,5/20/21,9/27/21,56.61,514-3_09_27_2021_13_15_11.xls,NA,130
2021,Newark,55&Friends,PHB47,Maize,514_4,514,4,A,JR,5/20/21,9/27/21,88.585,514-4_09_27_2021_13_14_14.xls,NA,130
2021,Newark,55&Friends,PHR58,Maize,515_4,515,4,A,JR,5/20/21,9/27/21,74.005,515-4_09_27_2021_13_09_54.xls,NA,130
2021,Newark,55&Friends,PHR58,Maize,515_5,515,5,A,JR,5/20/21,9/27/21,109.945,515-5_09_27_2021_13_10_54.xls,NA,130
2021,Newark,55&Friends,CML69,Maize,516_5,516,5,A,JR,5/20/21,9/27/21,108.011,516-5_09_27_2021_13_04_42.xls,NA,130
2021,Newark,55&Friends,CML69,Maize,516_6,516,6,A,JR,5/20/21,9/27/21,88.989,516-6_09_27_2021_13_06_01.xls,NA,130
2021,Newark,55&Friends,M37W,Maize,517_3,517,3,A,JR,5/20/21,9/27/21,120.138,517-3_09_27_2021_12_59_27.xls,NA,130
2021,Newark,55&Friends,M37W,Maize,517_5,517,5,A,JR,5/20/21,9/27/21,66.416,517-5_09_27_2021_13_00_40.xls,NA,130
2021,Newark,55&Friends,Ky21,Maize,518_3,518,3,A,JR,5/20/21,9/27/21,39.547,518-3_09_27_2021_12_54_14.xls,NA,130
2021,Newark,55&Friends,Ky21,Maize,518_5,518,5,A,JR,5/20/21,9/27/21,50.17,518-5_09_27_2021_12_55_27.xls,NA,130
2021,Newark,55&Friends,LH123Ht,Maize,519_5,519,5,A,JR,5/20/21,9/27/21,60.26,519-5_09_27_2021_12_48_55.xls,NA,130
2021,Newark,55&Friends,LH123Ht,Maize,519_8,519,8,A,JR,5/20/21,9/27/21,35.502,519-8_09_27_2021_12_50_21.xls,NA,130
2021,Newark,55&Friends,PHK46,Maize,520_7,520,7,A,JR,5/20/21,9/27/21,76.512,520-7_09_27_2021_12_43_40.xls,NA,130
2021,Newark,55&Friends,PHK46,Maize,520_8,520,8,A,JR,5/20/21,9/27/21,72.788,520-8 _09_27_2021_12_44_51.xls,NA,130
2021,Newark,55&Friends,CML228,Maize,521_4,521,4,A,JR,5/20/21,9/27/21,108.533,521-4_09_27_2021_12_38_33.xls,NA,130
2021,Newark,55&Friends,CML228,Maize,521_7,521,7,A,JR,5/20/21,9/27/21,89.424,521-7_09_27_2021_12_39_44.xls,NA,130
2021,Newark,55&Friends,Mo18W,Maize,522_4,522,4,A,JR,5/20/21,9/27/21,147.71,522-4_09_27_2021_12_33_38.xls,NA,130
2021,Newark,55&Friends,Mo18W,Maize,522_5,522,5,A,JR,5/20/21,9/27/21,123.777,522-5_09_27_2021_12_34_36.xls,NA,130
2021,Newark,55&Friends,CML277,Maize,523_4,523,4,A,JR,5/20/21,9/27/21,129.879,523-4_09_27_2021_12_27_14.xls,NA,130
2021,Newark,55&Friends,CML277,Maize,523_5,523,5,A,JR,5/20/21,9/27/21,101.265,523-5_09_27_2021_12_28_46.xls,NA,130
2021,Newark,55&Friends,CML277,Maize,523_6,523,6,A,JR,5/20/21,9/27/21,99.689,523-6_09_27_2021_12_30_14.xls,NA,130
2021,Newark,55&Friends,Tzi9,Maize,524_2,524,2,A,JR,5/20/21,9/27/21,92.747,524-2_09_27_2021_11_54_08.xls,NA,130
2021,Newark,55&Friends,Tzi9,Maize,524_4,524,4,A,JR,5/20/21,9/27/21,73.607,524-4_09_27_2021_11_55_00.xls,NA,130
2021,Newark,55&Friends,B73,Maize,525_6,525,6,A,JR,5/20/21,9/27/21,95.205,525-6_09_27_2021_11_49_19.xls,NA,130
2021,Newark,55&Friends,B73,Maize,525_7,525,7,A,JR,5/20/21,9/27/21,78.635,525-7_09_27_2021_11_50_22.xls,NA,130
2021,Newark,55&Friends,Hi34,Maize,526_4,526,4,A,JR,5/20/21,9/27/21,42.125,526-4_09_27_2021_11_44_01.xls,NA,130
2021,Newark,55&Friends,Hi34,Maize,526_7,526,7,A,JR,5/20/21,9/27/21,76.942,526-7_09_27_2021_11_45_12.xls,NA,130
2021,Newark,55&Friends,B97,Maize,527_3,527,3,A,JR,5/20/21,9/27/21,38.498,527-3_09_27_2021_11_39_17.xls,NA,130
2021,Newark,55&Friends,B97,Maize,527_4,527,4,A,JR,5/20/21,9/27/21,68.101,527-4_09_27_2021_11_40_16.xls,NA,130
2021,Newark,55&Friends,CML247,Maize,528_5,528,5,A,JR,5/20/21,9/27/21,84.961,528-5_09_27_2021_11_34_39.xls,NA,130
2021,Newark,55&Friends,CML247,Maize,528_6,528,6,A,JR,5/20/21,9/27/21,126.814,528-6_09_27_2021_11_35_33.xls,NA,130
